[60.0, ' State-gov', 194252.0, ' Masters', 14.0, ' Married-civ-spouse', ' Exec-managerial', ' Wife', ' White', ' Female', 3103.0, 0.0, 40.0, ' United-States', ' >50K']
[25.0, ' Private', 177147.0, ' Some-college', 10.0, ' Never-married', ' Handlers-cleaners', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[23.0, ' Private', 162593.0, ' Bachelors', 13.0, ' Never-married', ' Adm-clerical', ' Not-in-family', ' Asian-Pac-Islander', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[24.0, ' Private', 239663.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Adm-clerical', ' Husband', ' White', ' Male', 0.0, 0.0, 15.0, ' United-States', ' <=50K']
[23.0, ' Private', 152189.0, ' Assoc-acdm', 12.0, ' Never-married', ' Other-service', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[27.0, ' Private', 208703.0, ' HS-grad', 9.0, ' Never-married', ' Protective-serv', ' Own-child', ' White', ' Male', 0.0, 0.0, 40.0, ' Japan', ' <=50K']
[21.0, ' Private', 136610.0, ' 12th', 8.0, ' Never-married', ' Handlers-cleaners', ' Own-child', ' White', ' Male', 0.0, 0.0, 32.0, ' United-States', ' <=50K']
[57.0, ' Private', 173580.0, ' Some-college', 10.0, ' Widowed', ' Machine-op-inspct', ' Unmarried', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[35.0, ' Private', 156728.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Farming-fishing', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[20.0, ' Private', 244406.0, ' HS-grad', 9.0, ' Never-married', ' Adm-clerical', ' Own-child', ' Black', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[29.0, ' Private', 183523.0, ' 10th', 6.0, ' Never-married', ' Other-service', ' Own-child', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[34.0, ' Private', 62124.0, ' HS-grad', 9.0, ' Separated', ' Other-service', ' Not-in-family', ' Black', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[35.0, ' Private', 181020.0, ' HS-grad', 9.0, ' Never-married', ' Handlers-cleaners', ' Own-child', ' White', ' Male', 0.0, 0.0, 60.0, ' United-States', ' <=50K']
[50.0, ' Private', 98215.0, ' HS-grad', 9.0, ' Divorced', ' Other-service', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[24.0, ' Private', 100345.0, ' Bachelors', 13.0, ' Never-married', ' Prof-specialty', ' Own-child', ' White', ' Male', 0.0, 0.0, 20.0, ' United-States', ' <=50K']
[32.0, ' Private', 281384.0, ' HS-grad', 9.0, ' Married-AF-spouse', ' Other-service', ' Other-relative', ' White', ' Female', 0.0, 0.0, 10.0, ' United-States', ' <=50K']
[45.0, ' Self-emp-inc', 120131.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 50.0, ' United-States', ' >50K']
[65.0, ' ?', 224472.0, ' Prof-school', 15.0, ' Never-married', ' ?', ' Not-in-family', ' White', ' Male', 25124.0, 0.0, 80.0, ' United-States', ' >50K']
